Communication_link,Power_save_mechanism,Generated_traffic,Transport_protocol,Packets_per_second,Sta_count,Uplink_delay,Downlink_delay,Uplink_pcktloss,Downlink_pcktloss,Uplink_thrpt,Downlink_thrpt,sta_nrg,ap_nrg,sta_overhead,ap_overhead
Duplex,Active,Poisson,TCP,10.0,2,0.9155,0.995,0.0343454,0.0185662,9.71848,6.33489,122.362,441.917,25.4804,69.7713
Down Link,TWT,Full Buffer,TCP,50.0,2,0.0,12.2145,0.0,,0.0,24.9954,94.0047,453.783,7.43873,26.5907
Up Link,Active,Poisson,UDP,20.0,4,0.22925,0.0,,0.0,4.18019,0.0,94.3478,422.772,12.623,40.7796
Up Link,TWT,Full Buffer,TCP,30.0,3,15.7243,0.0,,0.0,5.73666,0.0,69.6281,416.898,3.26783,10.3641
Up Link,TWT,Poisson,TCP,30.0,5,7.4432,0.0,,0.0,3.2739,0.0,84.7267,423.315,6.33962,38.8583
Down Link,PSM,Periodic,TCP,20.0,3,0.0,43.8797,0.0,,0.0,0.42297,57.9502,416.564,4.34308,13.2625
Up Link,Active,Poisson,TCP,10.0,3,0.737667,0.0,,0.0,6.55574,0.0,107.148,432.348,23.0182,65.3261
Down Link,Active,Poisson,TCP,10.0,2,0.0,0.3665,0.0,,0.0,6.38144,97.6527,435.274,19.3063,52.2043
Up Link,TWT,Poisson,UDP,50.0,3,7.01467,0.0,,0.0,5.60175,0.0,80.0174,418.658,4.46325,19.7021
Down Link,Active,Periodic,UDP,50.0,5,0.0,0.2138,0.0,,0.0,2.14117,83.9787,428.08,9.88676,26.4349
Down Link,TWT,Periodic,UDP,40.0,2,0.0,7.206,0.0,,0.0,5.39696,74.5414,424.003,6.79208,20.7184
Down Link,Active,Full Buffer,UDP,10.0,4,0.0,1118.1,0.0,,0.0,28.6532,143.508,492.163,7.64505,20.5944
Duplex,PSM,Full Buffer,TCP,50.0,3,57.5287,71.586,0.425467,0.0486322,1.98479,6.52719,65.7758,419.371,3.9348,12.4681
Down Link,TWT,Full Buffer,UDP,30.0,2,0.0,620.495,0.0,,0.0,31.9405,94.5543,459.18,6.35459,20.1985
Up Link,PSM,Periodic,TCP,30.0,5,213.01,0.0,,0.0,1.3198,0.0,80.8102,420.095,10.036,36.0525
Up Link,TWT,Full Buffer,TCP,40.0,3,14.825,0.0,,0.0,5.55037,0.0,69.2927,416.853,3.38902,10.5975
Up Link,TWT,Poisson,TCP,10.0,5,7.8382,0.0,,0.0,3.91661,0.0,87.7462,424.852,7.04453,44.1896
Up Link,Active,Poisson,TCP,10.0,4,0.79025,0.0,,0.0,4.71593,0.0,103.668,432.306,22.7383,65.5574
Down Link,Active,Poisson,UDP,10.0,3,0.0,0.181667,0.0,,0.0,4.22865,86.6626,430.483,11.6676,29.4462
Up Link,Active,Periodic,UDP,50.0,3,0.189,0.0,,0.0,5.35417,0.0,95.6746,422.451,12.2421,39.5691
Down Link,Active,Full Buffer,UDP,30.0,2,0.0,1126.19,0.0,,0.0,57.1631,144.174,491.896,8.17799,20.4219
Down Link,PSM,Periodic,TCP,20.0,4,0.0,50.4442,0.0,,0.0,0.340811,58.3047,416.682,4.44983,13.7522
Duplex,TWT,Poisson,TCP,50.0,3,7.32967,8.05133,0.180764,0.0105792,5.46284,3.73576,89.9952,431.972,9.52587,41.7666
Up Link,TWT,Periodic,TCP,40.0,5,7.6578,0.0,,0.0,3.3009,0.0,85.8825,423.504,6.50383,39.7999
Up Link,PSM,Poisson,TCP,20.0,3,108.88,0.0,,0.0,0.710037,0.0,65.619,416.548,5.04206,16.0364
Duplex,PSM,Periodic,TCP,50.0,5,116.746,65.6556,1.75794,0.173051,0.448581,1.03502,65.7977,417.89,5.71048,19.0473
Down Link,PSM,Poisson,TCP,20.0,4,0.0,58.1823,0.0,,0.0,0.353174,58.6923,416.758,4.48494,13.9222
Duplex,Active,Full Buffer,UDP,30.0,3,4355.79,7249.66,96.9896,55.7831,31.2971,3.83386,164.056,434.612,5.31444,16.0853
Duplex,PSM,Periodic,UDP,50.0,1,3694.25,4681.51,75.0538,6.87965,14.9782,2.87893,99.4924,420.451,9.45513,21.8061
Up Link,Active,Full Buffer,UDP,40.0,2,2442.71,0.0,,0.0,60.2181,0.0,183.209,429.555,4.50726,14.2461
Down Link,Active,Periodic,UDP,50.0,5,0.0,0.1742,0.0,,0.0,2.13872,83.9731,428.074,9.88356,26.4276
Down Link,PSM,Full Buffer,TCP,10.0,3,0.0,36.2057,0.0,,0.0,3.06442,64.2989,421.718,3.7907,11.9764
Duplex,TWT,Full Buffer,TCP,20.0,2,13.444,34.4345,0.397379,0.00247819,4.48127,21.4355,69.3767,420.575,3.34188,10.3383
Up Link,PSM,Periodic,TCP,30.0,5,169.452,0.0,,0.0,1.09533,0.0,79.0994,419.532,8.01165,32.2851
Down Link,TWT,Full Buffer,TCP,10.0,3,0.0,12.8883,0.0,,0.0,22.8534,94.6885,468.167,7.44792,34.1692
Down Link,Active,Poisson,TCP,10.0,1,0.0,0.292,0.0,,0.0,12.8449,106.267,435.153,20.9871,51.0196
Duplex,PSM,Periodic,UDP,50.0,1,3715.74,4602.85,74.8687,6.79121,14.9543,2.89554,98.8149,420.149,9.07954,20.8167
Up Link,TWT,Poisson,TCP,10.0,5,7.6466,0.0,,0.0,3.71684,0.0,86.66,424.427,7.01316,42.6752
Duplex,Active,Full Buffer,TCP,20.0,4,4.5435,77.7878,0.134358,0.0253777,10.8207,13.1585,148.681,463.59,8.75385,25.6123
Up Link,PSM,Poisson,UDP,40.0,2,0.191,0.0,,0.0,8.48179,0.0,86.5553,422.856,8.8332,41.0588
Down Link,Active,Poisson,TCP,50.0,2,0.0,0.317,0.0,,0.0,5.35454,93.8646,431.951,16.699,45.3686
Up Link,PSM,Periodic,TCP,50.0,5,175.417,0.0,,0.0,1.3118,0.0,76.9215,418.444,5.98058,26.3409
Duplex,PSM,Periodic,TCP,10.0,4,126.295,22.246,0.0924309,0.347803,0.546709,0.356926,65.024,417.751,5.30049,17.2695
Duplex,Active,Full Buffer,UDP,50.0,2,2775.03,5863.38,98.5742,49.6318,53.1017,7.10847,180.284,434.309,4.98165,15.2172
Duplex,PSM,Full Buffer,UDP,30.0,4,1474.49,1899.33,102.185,98.3958,23.1717,2.83841,81.2362,417.139,3.07124,12.9998
Down Link,PSM,Poisson,TCP,50.0,5,0.0,58.4688,0.0,,0.0,0.288105,59.3497,416.798,4.44198,14.1584
Down Link,PSM,Periodic,TCP,20.0,2,0.0,11.974,0.0,,0.0,3.15496,56.5738,416.35,4.29525,12.8429
Up Link,TWT,Poisson,TCP,20.0,3,7.13667,0.0,,0.0,5.90598,0.0,85.8837,423.139,8.65322,36.5659
Up Link,Active,Full Buffer,UDP,30.0,2,2444.63,0.0,,0.0,60.0326,0.0,182.767,429.492,4.52419,14.3027
Down Link,TWT,Poisson,UDP,10.0,5,0.0,7.1274,0.0,,0.0,2.47109,82.8786,426.605,6.13159,24.6266
Down Link,PSM,Poisson,TCP,30.0,1,0.0,17.557,0.0,,0.0,1.13239,56.9197,416.332,4.3293,12.3223
Duplex,TWT,Periodic,UDP,20.0,1,19.511,133.123,2.19071,0.0638379,16.9955,11.1017,92.2173,426.274,6.77143,17.7934
Up Link,PSM,Full Buffer,TCP,20.0,4,41.3055,0.0,,0.0,2.72432,0.0,69.2105,416.957,3.91674,13.115
Down Link,PSM,Full Buffer,UDP,50.0,1,0.0,934.026,0.0,,0.0,11.6686,84.172,423.356,7.36844,16.8622
Down Link,Active,Full Buffer,TCP,10.0,1,0.0,9.62,0.0,,0.0,92.0429,146.521,483.995,11.683,28.4723
Down Link,TWT,Full Buffer,UDP,50.0,1,0.0,629.167,0.0,,0.0,37.9988,84.7142,440.688,6.65831,15.5969
Duplex,PSM,Full Buffer,UDP,40.0,5,1410.57,1244.24,102.119,98.4527,18.9974,2.57155,80.8855,417.353,3.16685,13.2636
Duplex,Active,Periodic,TCP,50.0,5,1.0906,1.621,0.0399579,0.0256462,3.26992,2.17918,109.775,442.07,27.2797,79.6461
Down Link,Active,Periodic,TCP,50.0,3,0.0,0.471333,0.0,,0.0,3.62611,91.5816,432.313,16.3825,46.0847
Up Link,PSM,Periodic,TCP,10.0,5,207.942,0.0,,0.0,0.6698,0.0,69.5348,417.546,6.42259,21.6366
Up Link,TWT,Poisson,UDP,30.0,2,7.1815,0.0,,0.0,8.39747,0.0,79.9481,418.339,4.66328,18.1974
Down Link,TWT,Periodic,TCP,30.0,5,0.0,6.946,0.0,,0.0,2.23323,76.5712,426.789,6.19589,31.386
Up Link,TWT,Full Buffer,TCP,50.0,4,24.169,0.0,,0.0,4.71813,0.0,69.7102,417.25,3.30425,10.811
Up Link,Active,Full Buffer,TCP,20.0,1,4.768,0.0,,0.0,105.004,0.0,217.641,434.786,6.7936,18.4782
Down Link,Active,Poisson,TCP,50.0,3,0.0,0.333333,0.0,,0.0,3.58278,91.373,432.015,16.2784,45.8317
Duplex,TWT,Periodic,UDP,40.0,1,11.038,55.418,0.955993,0.0518909,16.192,10.6742,89.9444,425.313,6.68589,17.7534
Duplex,PSM,Periodic,TCP,10.0,3,141.305,76.7837,0.0366066,0.176067,0.771427,0.531389,66.6785,418.114,5.90202,18.6829
Down Link,PSM,Periodic,UDP,20.0,2,0.0,5038.28,0.0,,0.0,1.95041,80.1977,419.561,9.86032,24.0368
Up Link,Active,Full Buffer,UDP,20.0,5,5945.84,0.0,,0.0,20.7735,0.0,154.881,427.908,5.02125,15.5609
Duplex,Active,Poisson,UDP,20.0,1,0.435,0.39,0.0,0.00265421,15.9092,11.1992,121.174,433.655,18.5329,47.0538
Up Link,TWT,Poisson,TCP,30.0,4,7.25,0.0,,0.0,4.16903,0.0,84.9886,423.235,7.7433,38.3149
Down Link,Active,Periodic,TCP,40.0,4,0.0,0.4795,0.0,,0.0,2.75071,90.6058,432.645,16.4461,47.0995
Up Link,PSM,Periodic,TCP,10.0,5,160.435,0.0,,0.0,0.74501,0.0,75.1398,417.904,6.09717,23.4193
Up Link,TWT,Periodic,TCP,50.0,5,7.719,0.0,,0.0,3.271,0.0,85.8207,423.116,6.10792,37.779
Down Link,Active,Poisson,UDP,10.0,5,0.0,0.2042,0.0,,0.0,2.48773,85.6075,430.264,11.0434,29.302
Up Link,TWT,Poisson,TCP,20.0,4,7.052,0.0,,0.0,4.35797,0.0,85.2705,423.618,6.91188,39.6369
Down Link,PSM,Periodic,UDP,10.0,1,0.0,3575.97,0.0,,0.0,2.68311,79.3958,417.987,7.87265,17.7452
Down Link,Active,Periodic,TCP,10.0,4,0.0,0.474,0.0,,0.0,3.21547,93.3674,435.656,18.7739,53.5899
Up Link,PSM,Periodic,TCP,20.0,5,257.514,0.0,,0.0,1.27081,0.0,80.4251,420.103,9.61116,35.2457
Down Link,PSM,Poisson,UDP,30.0,3,0.0,5244.14,0.0,,0.0,1.73127,81.351,421.277,11.9478,30.119
Up Link,TWT,Periodic,UDP,10.0,1,8.176,0.0,,0.0,18.8983,0.0,85.6249,417.991,4.62941,14.9587
Down Link,Active,Full Buffer,TCP,40.0,2,0.0,20.362,0.0,,0.0,45.8341,141.542,484.243,11.2073,30.3307
Duplex,PSM,Full Buffer,TCP,20.0,2,62.4945,65.1815,0.0,0.0371432,2.75845,2.52889,69.8185,419.699,4.27369,13.0289
Duplex,Active,Periodic,TCP,30.0,4,0.98425,1.61275,0.0455095,0.0172142,4.19073,2.79531,112.395,442.45,27.1892,78.7587
Up Link,Active,Full Buffer,TCP,40.0,3,11.8667,0.0,,0.0,30.5227,0.0,163.177,433.341,7.64914,22.5785
Duplex,TWT,Full Buffer,TCP,50.0,5,48.073,81.1076,1.20607,0.00996853,2.74747,5.82207,70.6613,422.496,3.49189,12.2109
Duplex,TWT,Full Buffer,TCP,10.0,2,11.5895,36.551,0.325863,0.00265979,4.23973,21.9046,68.8841,420.225,3.27835,10.1245
Up Link,PSM,Poisson,TCP,20.0,2,97.156,0.0,,0.0,0.899994,0.0,61.5741,416.213,4.78066,14.5649
Down Link,TWT,Periodic,TCP,30.0,5,0.0,6.886,0.0,,0.0,2.23655,76.7659,426.759,5.73824,31.6381
Up Link,PSM,Periodic,UDP,20.0,1,0.157,0.0,,0.0,16.9985,0.0,100.971,422.838,12.6612,40.9559
Up Link,PSM,Poisson,TCP,50.0,2,160.644,0.0,,0.0,1.05214,0.0,64.673,416.368,5.48651,16.0367
Down Link,TWT,Periodic,UDP,30.0,5,0.0,7.1758,0.0,,0.0,2.19561,82.6876,425.202,5.77346,23.0654
Duplex,Active,Poisson,TCP,20.0,2,0.833,0.988,0.0254023,0.008343,8.76756,5.70038,118.45,440.122,24.0104,66.0058
Up Link,Active,Full Buffer,TCP,30.0,4,14.9985,0.0,,0.0,22.0721,0.0,155.255,433.361,7.87566,23.5768
Down Link,TWT,Full Buffer,TCP,30.0,3,0.0,12.778,0.0,,0.0,22.9332,94.9575,468.755,7.57108,34.8091
Down Link,PSM,Full Buffer,UDP,10.0,5,0.0,662.651,0.0,,0.0,3.39746,88.8046,430.047,15.4205,40.1023
Up Link,TWT,Periodic,UDP,50.0,1,8.189,0.0,,0.0,16.0244,0.0,81.3577,417.414,4.26664,13.7731
Up Link,Active,Periodic,TCP,50.0,3,0.338,0.0,,0.0,5.44617,0.0,103.215,431.819,21.9947,61.9776
Up Link,Active,Periodic,TCP,10.0,4,0.8795,0.0,,0.0,4.82212,0.0,102.933,430.952,21.3466,62.5261
Down Link,Active,Full Buffer,TCP,50.0,1,0.0,9.655,0.0,,0.0,92.2548,147.039,484.271,11.7041,28.5653
Duplex,Active,Poisson,UDP,20.0,4,0.6205,0.81125,0.0159666,0.00608854,4.09056,2.88876,104.766,436.397,19.3422,56.4496
Up Link,PSM,Full Buffer,TCP,10.0,3,18.374,0.0,,0.0,4.52402,0.0,65.0196,416.662,3.52392,11.2753
Down Link,Active,Periodic,UDP,50.0,3,0.0,0.145,0.0,,0.0,3.56308,84.6381,427.958,10.2459,26.1433
Duplex,Active,Full Buffer,UDP,40.0,2,3048.68,5715.4,95.255,55.2663,47.4712,7.48089,177.54,436.956,5.37552,16.0057
Duplex,Active,Full Buffer,UDP,20.0,1,1789.92,4992.32,88.8591,59.4724,86.5241,27.7561,209.929,444.129,5.9171,16.1194
Down Link,PSM,Full Buffer,UDP,10.0,2,0.0,793.756,0.0,,0.0,7.09174,86.1063,426.024,9.65424,23.6114
Duplex,PSM,Full Buffer,UDP,40.0,1,1582.32,2108.48,101.557,97.7504,40.0431,27.7466,92.7177,445.997,2.98752,163.623
Down Link,TWT,Poisson,TCP,50.0,1,0.0,7.739,0.0,,0.0,10.7097,71.9805,424.179,7.66186,19.0432
Duplex,PSM,Full Buffer,TCP,20.0,4,58.6735,84.072,0.698584,0.0770958,3.54706,7.40337,66.4511,419.966,4.22762,13.0274
Up Link,PSM,Poisson,TCP,20.0,5,185.027,0.0,,0.0,0.717553,0.0,71.1512,417.796,6.3353,22.9378
Down Link,PSM,Full Buffer,TCP,30.0,5,0.0,60.0244,0.0,,0.0,1.832,65.2163,421.708,3.91306,12.5714
Down Link,Active,Poisson,UDP,20.0,1,0.0,0.142,0.0,,0.0,11.5843,89.5104,429.047,13.3506,27.4167
Duplex,TWT,Full Buffer,TCP,20.0,4,25.2875,68.012,0.719682,0.00427086,2.57623,9.71042,68.5756,421.503,2.74483,10.8456
Duplex,TWT,Full Buffer,UDP,30.0,5,4896.04,868.548,92.3559,70.2882,15.6473,5.0829,107.914,448.793,4.38477,28.5968
Up Link,PSM,Poisson,TCP,40.0,3,173.594,0.0,,0.0,0.839867,0.0,64.9593,416.787,5.75908,17.6314
Up Link,PSM,Periodic,TCP,40.0,3,180.643,0.0,,0.0,1.17468,0.0,71.5177,417.887,7.66847,23.1572
Up Link,PSM,Full Buffer,UDP,10.0,4,1473.23,0.0,,0.0,24.2144,0.0,64.1106,416.625,3.05939,9.61083
Up Link,PSM,Full Buffer,TCP,30.0,4,33.2302,0.0,,0.0,3.0226,0.0,67.3613,416.836,3.76098,12.5164
Up Link,TWT,Poisson,TCP,40.0,1,0.717,0.0,,0.0,2.58069,0.0,63.4107,415.603,4.4023,12.5542
Up Link,Active,Full Buffer,TCP,10.0,1,4.8,0.0,,0.0,104.812,0.0,218.885,434.934,6.84236,18.5926
Duplex,Active,Periodic,UDP,20.0,2,0.457,0.445,0.002501,0.003347,8.49774,5.67453,112.299,435.982,19.8344,55.2321
Duplex,PSM,Poisson,TCP,10.0,2,72.3595,12.5575,0.0493681,0.170695,1.08278,0.744186,62.6381,417.586,5.35242,16.013
Duplex,PSM,Poisson,TCP,20.0,2,84.2835,38.5915,0.0115181,0.220751,0.797203,0.634594,62.2284,417.326,5.26035,15.7927
Down Link,Active,Poisson,UDP,50.0,1,0.0,0.142,0.0,,0.0,10.764,88.4239,428.04,12.607,26.1036
Up Link,TWT,Poisson,UDP,20.0,3,6.85967,0.0,,0.0,5.57521,0.0,79.845,418.727,4.58493,20.0425
Down Link,TWT,Full Buffer,UDP,30.0,1,0.0,608.609,0.0,,0.0,37.449,84.1568,440.119,6.57484,15.4558
Down Link,TWT,Full Buffer,TCP,50.0,4,0.0,12.818,0.0,,0.0,20.1247,95.2311,478.727,6.09047,40.1825
Duplex,PSM,Periodic,TCP,10.0,2,113.403,31.4475,0.0902346,0.0900495,1.13801,0.727243,64.982,417.613,5.59109,16.6885
Down Link,PSM,Periodic,TCP,20.0,5,0.0,66.085,0.0,,0.0,0.280166,59.4604,416.741,4.45211,14.0286
Up Link,TWT,Periodic,UDP,10.0,2,7.17,0.0,,0.0,9.45139,0.0,83.0763,418.903,4.98067,19.6807
Up Link,TWT,Poisson,TCP,20.0,3,7.096,0.0,,0.0,5.70046,0.0,85.0786,422.808,8.36207,35.358
Down Link,Active,Periodic,TCP,50.0,5,0.0,0.2608,0.0,,0.0,2.17988,89.5824,432.394,16.2632,47.081
Duplex,TWT,Full Buffer,UDP,20.0,2,5017.02,1186.85,97.8303,75.9364,26.8152,4.90548,116.084,433.248,4.87549,18.6954
Duplex,TWT,Full Buffer,UDP,10.0,1,3876.59,1482.92,99.6198,84.7623,35.9442,6.23393,112.824,425.041,4.47782,13.3984
Down Link,TWT,Full Buffer,UDP,50.0,5,0.0,582.363,0.0,,0.0,20.773,97.2924,491.808,5.65831,25.9739
Up Link,PSM,Periodic,TCP,20.0,1,97.651,0.0,,0.0,1.89481,0.0,62.1557,415.889,5.00955,13.6133
Up Link,TWT,Poisson,UDP,20.0,2,7.1225,0.0,,0.0,8.03442,0.0,79.7022,418.288,4.69437,18.1909
Duplex,TWT,Poisson,TCP,10.0,3,7.54133,8.14567,0.155819,0.0166028,6.42515,4.33561,92.5978,434.327,9.88211,44.0992
Duplex,TWT,Periodic,UDP,40.0,5,7.5554,7.6696,0.112583,0.0123042,3.24024,2.15939,85.88,429.077,5.49263,33.301
Duplex,PSM,Periodic,TCP,20.0,5,234.937,96.2972,0.0429295,0.310853,0.434365,0.340857,68.2894,418.489,6.11387,20.8769
Duplex,Active,Periodic,TCP,10.0,2,0.809,0.927,0.0180971,0.0104943,9.64404,6.42381,122.3,442.598,26.1951,70.8499
Up Link,PSM,Poisson,UDP,20.0,3,0.217667,0.0,,0.0,5.52025,0.0,82.791,422.675,7.23633,40.331
Duplex,TWT,Full Buffer,UDP,20.0,5,4700.76,925.567,92.5629,69.8941,15.8859,4.84892,108.163,448.667,4.28359,28.6308
Duplex,PSM,Poisson,TCP,40.0,5,269.003,93.9246,0.0474068,0.386245,0.473005,0.310774,69.3635,418.407,6.06731,21.2299
Down Link,Active,Periodic,TCP,50.0,5,0.0,0.2936,0.0,,0.0,2.1772,89.6589,432.489,16.2797,47.1637
Up Link,TWT,Periodic,TCP,50.0,1,2.465,0.0,,0.0,2.90193,0.0,63.6524,415.641,4.39902,12.5563
Up Link,TWT,Poisson,TCP,50.0,5,7.6118,0.0,,0.0,3.26571,0.0,85.2798,423.182,6.21197,38.3246
Up Link,PSM,Poisson,UDP,40.0,3,0.194,0.0,,0.0,5.17639,0.0,81.6848,422.179,6.89687,38.4475
Down Link,Active,Full Buffer,TCP,40.0,4,0.0,44.4252,0.0,,0.0,22.1933,136.907,483.228,11.4016,32.7124
Down Link,Active,Periodic,UDP,20.0,3,0.0,0.143667,0.0,,0.0,3.78135,85.3381,428.834,10.7439,27.2981
Up Link,Active,Poisson,TCP,50.0,2,0.458,0.0,,0.0,8.05637,0.0,105.342,429.001,19.5258,53.938
Up Link,PSM,Poisson,TCP,20.0,2,134.647,0.0,,0.0,1.27781,0.0,65.7988,416.749,5.62361,17.0958
Up Link,Active,Poisson,UDP,50.0,2,0.1815,0.0,,0.0,8.64811,0.0,101.672,422.982,12.8468,41.5849
Down Link,Active,Periodic,TCP,20.0,1,0.0,0.292,0.0,,0.0,11.5667,102.652,432.845,18.9516,46.2747
Duplex,Active,Full Buffer,TCP,20.0,1,3.797,17.345,0.0320982,0.00662303,50.5952,52.278,183.087,461.699,8.31638,21.1324
Duplex,TWT,Periodic,TCP,20.0,1,4.702,8.724,0.875151,0.0,3.84981,8.94567,66.085,417.009,4.78544,13.2742
Duplex,PSM,Full Buffer,TCP,50.0,5,37.536,102.169,1.09691,0.044789,1.15387,7.18122,68.3045,419.961,3.92035,13.0391
Down Link,PSM,Poisson,TCP,20.0,3,0.0,48.4567,0.0,,0.0,0.447802,59.6129,416.651,4.39426,13.644
Down Link,PSM,Poisson,UDP,30.0,2,0.0,5181.49,0.0,,0.0,2.07289,80.4876,419.9,10.053,24.4653
Down Link,PSM,Full Buffer,UDP,40.0,2,0.0,738.625,0.0,,0.0,6.72874,85.6175,425.471,9.67313,23.6438
Up Link,TWT,Periodic,TCP,20.0,1,0.426,0.0,,0.0,0.160376,0.0,59.424,414.601,2.72917,8.72301
Up Link,TWT,Full Buffer,UDP,30.0,2,3745.88,0.0,,0.0,37.0523,0.0,119.106,423.809,3.38569,11.8401
Down Link,PSM,Full Buffer,UDP,40.0,3,0.0,706.636,0.0,,0.0,4.94885,86.835,427.228,11.7735,29.6796
Down Link,PSM,Poisson,UDP,40.0,5,0.0,5349.3,0.0,,0.0,1.45004,83.1595,423.894,15.4582,40.2217
Up Link,PSM,Full Buffer,UDP,20.0,1,1240.67,0.0,,0.0,51.8677,0.0,75.2982,416.7,2.83992,9.15376
Down Link,Active,Full Buffer,UDP,10.0,5,0.0,1095.03,0.0,,0.0,22.8923,143.187,492.02,7.57143,20.7158
Duplex,Active,Periodic,TCP,10.0,3,1.48267,1.44333,0.0495044,0.051056,6.42841,4.2864,118.094,442.855,26.1822,74.571
Duplex,PSM,Poisson,TCP,40.0,1,73.599,46.109,0.0100543,0.0600601,2.18463,1.45791,64.3339,417.399,5.61373,15.1136
Up Link,Active,Periodic,UDP,40.0,2,0.166,0.0,,0.0,8.10838,0.0,100.076,422.504,12.2817,39.7222
Duplex,PSM,Full Buffer,UDP,30.0,4,1545.28,2892.46,102.213,98.1042,23.9393,2.68145,81.449,417.199,3.08268,12.9999
Duplex,TWT,Poisson,TCP,30.0,1,5.269,5.034,0.817737,0.0,4.46927,9.58719,68.3751,417.836,6.3039,16.5697
Duplex,TWT,Full Buffer,UDP,20.0,2,4979.57,1132.98,97.8778,75.6658,27.0855,4.85546,116.136,433.187,4.86534,18.7093
Down Link,TWT,Periodic,UDP,40.0,5,0.0,7.0708,0.0,,0.0,2.15876,81.8472,424.974,5.72403,22.687
Up Link,PSM,Full Buffer,TCP,10.0,2,5.522,0.0,,0.0,11.1556,0.0,81.9196,418.154,3.71551,12.8289
Down Link,TWT,Full Buffer,UDP,30.0,5,0.0,576.735,0.0,,0.0,20.7787,97.5342,492.134,5.64111,25.9031
Up Link,PSM,Periodic,TCP,20.0,5,222.578,0.0,,0.0,0.888629,0.0,77.5678,418.412,6.72447,26.348
Up Link,PSM,Periodic,TCP,50.0,4,226.061,0.0,,0.0,1.68054,0.0,82.9611,420.529,12.4803,38.0577
Duplex,Active,Full Buffer,TCP,20.0,4,5.529,77.182,0.141042,0.0138324,11.0069,13.0919,150.522,462.815,8.7283,25.3619
Duplex,PSM,Poisson,UDP,50.0,1,3803.3,4587.77,72.2718,19.5586,12.8468,2.99755,97.3045,420.369,9.72538,22.5738
Duplex,Active,Poisson,UDP,30.0,3,0.793,0.680333,0.0198552,0.0108327,5.66168,3.61076,107.202,435.393,19.0813,55.1443
Duplex,TWT,Poisson,TCP,30.0,3,7.61333,8.15767,0.165462,0.00253526,5.72696,3.87306,90.5556,432.611,9.58957,42.3494
Down Link,TWT,Periodic,TCP,30.0,2,0.0,7.304,0.0,,0.0,5.58965,73.9676,425.738,7.95123,26.7509
Down Link,Active,Poisson,TCP,50.0,5,0.0,0.354,0.0,,0.0,2.22229,89.8501,432.795,16.4849,47.7171
Down Link,PSM,Poisson,UDP,20.0,5,0.0,5388.35,0.0,,0.0,1.48226,83.3884,424.213,15.6114,40.6731
Down Link,Active,Poisson,UDP,20.0,4,0.0,0.19375,0.0,,0.0,2.72407,84.4013,428.261,10.1437,26.6112
Down Link,Active,Full Buffer,UDP,20.0,5,0.0,1091.76,0.0,,0.0,22.9157,143.01,491.872,7.72115,21.0903
Duplex,TWT,Poisson,UDP,50.0,3,7.33667,7.96433,0.089277,0.0272638,5.41534,3.41115,86.2429,427.433,6.95936,29.1809
Down Link,Active,Poisson,TCP,50.0,2,0.0,0.317,0.0,,0.0,5.20185,93.2542,431.341,16.2336,44.1213
Duplex,TWT,Full Buffer,TCP,50.0,5,39.0044,79.0816,1.39038,0.00392603,2.21937,7.5722,68.0411,421.15,2.39982,10.9926
Duplex,Active,Periodic,TCP,30.0,5,1.1566,1.9234,0.0607016,0.0414866,3.35251,2.23508,110.401,442.373,26.9435,79.1689
Down Link,Active,Periodic,TCP,40.0,1,0.0,0.296,0.0,,0.0,11.0119,101.658,432.221,18.3681,44.9919
Up Link,TWT,Poisson,TCP,30.0,3,7.11533,0.0,,0.0,5.54544,0.0,84.7832,422.664,8.30445,35.1884
Up Link,Active,Full Buffer,UDP,40.0,1,1235.56,0.0,,0.0,127.782,0.0,228.287,430.244,4.10178,13.2289
Duplex,Active,Periodic,UDP,30.0,1,0.439,0.415,0.0,0.00172414,16.4779,10.9859,121.499,433.391,18.3414,46.9375
Up Link,PSM,Poisson,TCP,10.0,2,47.401,0.0,,0.0,1.41916,0.0,60.9202,416.461,5.15082,15.4462
Down Link,TWT,Full Buffer,UDP,50.0,1,0.0,631.303,0.0,,0.0,38.0426,84.7803,440.744,6.6669,15.6121
Up Link,Active,Poisson,UDP,20.0,1,0.227,0.0,,0.0,16.7737,0.0,114.249,422.773,12.5397,40.6466
Up Link,Active,Full Buffer,UDP,20.0,2,2439.32,0.0,,0.0,60.4438,0.0,182.619,430.338,4.44716,14.1167
Duplex,PSM,Poisson,UDP,10.0,1,3336.98,3651.59,75.9635,9.89671,16.8559,3.27277,101.769,421.024,9.68465,21.9831
Up Link,Active,Poisson,TCP,10.0,5,0.8204,0.0,,0.0,3.9256,0.0,103.083,433.134,23.4863,68.6132
Duplex,Active,Full Buffer,TCP,10.0,5,4.8096,96.0628,0.163696,0.0339308,8.34691,10.6976,146.5,463.915,8.92177,26.2464
Down Link,TWT,Poisson,UDP,40.0,5,0.0,7.0498,0.0,,0.0,2.18641,82.0374,425.0,5.67889,22.7233
Duplex,TWT,Poisson,UDP,50.0,5,17.6922,9.0688,1.2374,0.0195804,3.20288,2.11197,86.6316,429.861,5.5784,33.5843
Duplex,Active,Periodic,UDP,50.0,3,0.392667,0.519,0.00132887,0.000884142,5.34949,3.56777,106.339,435.265,19.0437,54.9102
Up Link,TWT,Full Buffer,TCP,30.0,3,17.3577,0.0,,0.0,5.50235,0.0,69.0616,416.821,3.23175,10.3695
