Communication_link,Power_save_mechanism,Generated_traffic,Transport_protocol,Packets_per_second,Sta_count,Uplink_delay,Downlink_delay,Uplink_pcktloss,Downlink_pcktloss,Uplink_thrpt,Downlink_thrpt,sta_nrg,ap_nrg,sta_overhead,ap_overhead
Duplex,Mix,Poisson,UDP,30.0,5,1480.58,1459.26,30.8006,32.173,2.62692,1.87073,102.572,429.589,13.8749,47.7094
Up Link,Mix,Poisson,TCP,50.0,2,63.719,0.0,,0.0,4.65967,0.0,76.1854,418.878,7.10513,22.8875
Duplex,Mix,Poisson,TCP,50.0,1,5.685,6.546,0.802554,0.0,4.56323,7.82246,68.3784,417.705,6.13001,16.1613
Up Link,Mix,Periodic,UDP,30.0,1,8.2,0.0,,0.0,16.4742,0.0,81.8017,417.464,4.26771,13.8185
Duplex,Mix,Poisson,TCP,40.0,2,118.929,53.754,0.851656,0.0220136,4.65263,2.70201,80.6323,423.442,7.38427,25.8802
Down Link,Mix,Poisson,UDP,10.0,5,0.0,1614.37,0.0,,0.0,2.08888,110.931,426.404,12.6125,40.2165
Duplex,Mix,Poisson,UDP,10.0,4,1110.68,674.088,20.7147,15.3675,4.07076,2.82717,101.859,433.816,12.7963,46.8937
Down Link,Mix,Periodic,UDP,20.0,3,0.0,964.573,0.0,,0.0,3.16253,106.37,425.165,12.1508,34.4373
Down Link,Mix,Full Buffer,TCP,40.0,2,0.0,15.9785,0.0,,0.0,36.3153,67.1438,425.649,2.99934,12.9404
Up Link,Mix,Full Buffer,TCP,10.0,4,16.3015,0.0,,0.0,15.2848,0.0,109.502,435.54,10.8006,67.0883
Up Link,Mix,Full Buffer,UDP,30.0,1,3110.03,0.0,,0.0,45.7182,0.0,114.983,420.228,3.19059,10.2978
Up Link,Mix,Poisson,UDP,20.0,5,2.9264,0.0,,0.0,3.46741,0.0,83.3001,421.411,6.37475,33.6814
Up Link,Mix,Full Buffer,TCP,40.0,3,25.1007,0.0,,0.0,9.61407,0.0,86.947,420.624,5.16189,19.3395
